Time,Source Balance,Environment Balance
,,1716660170864,999.9999999999931,3.6055225850579783e-12
,,
1716660171866,999.999999999993,3.6646121112311555e-12
,,
1716660172868,999.9999999999928,3.723701637404332e-12
,,
1716660173869,999.9999999999927,3.782732191994502e-12
,,
1716660174871,999.9999999999926,3.8418217181676784e-12
,,
1716660175872,999.9999999999925,3.900852272757848e-12
,,
1716660176874,999.9999999999924,3.9599417989310246e-12
,,
1716660177874,999.9999999999923,4.018913381938187e-12
,,
1716660178874,999.9999999999922,4.07788496494535e-12
,,
1716660179875,999.999999999992,4.136915519535519e-12
,,1716660180881,999.9999999999919,4.196240932040724e-12
,,
1716660181883,999.9999999999918,4.255330458213901e-12
,,
1716660182884,999.9999999999917,4.3143610128040704e-12
,,
1716660183886,999.9999999999916,4.373450538977247e-12
,,
1716660184888,999.9999999999915,4.432540065150424e-12
,,
1716660185890,999.9999999999914,4.491629591323601e-12
,,
1716660186891,999.9999999999912,4.55066014591377e-12
,,
1716660187893,999.9999999999911,4.609749672086947e-12
,,
1716660188894,999.999999999991,4.668780226677116e-12
,,
1716660189895,999.9999999999909,4.727810781267286e-12
,,1716660190901,999.9999999999908,4.787136193772491e-12
,,
1716660191903,999.9999999999907,4.846225719945667e-12
,,
1716660192904,999.9999999999906,4.905256274535836e-12
,,
1716660193906,999.9999999999905,4.964345800709012e-12
,,
1716660194907,999.9999999999903,5.023376355299181e-12
,,
1716660195908,999.9999999999902,5.082406909889351e-12
,,
1716660196910,999.9999999999901,5.141496436062527e-12
,,
1716660197911,999.99999999999,5.200526990652695e-12
,,
1716660198912,999.9999999999899,5.259557545242864e-12
,,
1716660199914,999.9999999999898,5.31864707141604e-12
,,1716660200920,999.9999999999897,5.377972483921244e-12
,,
1716660201921,999.9999999999895,5.4370030385114126e-12
,,
1716660202923,999.9999999999894,5.4960925646845886e-12
,,
1716660203924,999.9999999999893,5.555123119274757e-12
,,
1716660204926,999.9999999999892,5.614212645447933e-12
,,
1716660205928,999.9999999999891,5.673302171621109e-12
,,
1716660206929,999.999999999989,5.732332726211278e-12
,,
1716660207930,999.9999999999889,5.791363280801446e-12
,,
1716660208932,999.9999999999887,5.850452806974622e-12
,,
1716660209934,999.9999999999886,5.909542333147798e-12
,,1716660210939,999.9999999999885,5.968808774069995e-12
,,
1716660211940,999.9999999999884,6.0278393286601634e-12
,,
1716660212941,999.9999999999883,6.086869883250332e-12
,,
1716660213943,999.9999999999882,6.145959409423507e-12
,,
1716660214944,999.9999999999881,6.204989964013676e-12
,,
1716660215945,999.999999999988,6.264020518603844e-12
,,
1716660216947,999.9999999999878,6.323110044777019e-12
,,
1716660217948,999.9999999999877,6.382140599367188e-12
,,
1716660218949,999.9999999999876,6.4411711539573564e-12
,,
1716660219951,999.9999999999875,6.500260680130532e-12
,,1716660220957,999.9999999999874,6.559586092635736e-12
,,
1716660221959,999.9999999999873,6.618675618808911e-12
,,
1716660222960,999.9999999999872,6.67770617339908e-12
,,
1716660223962,999.999999999987,6.736795699572255e-12
,,
1716660224964,999.9999999999869,6.79588522574543e-12
,,
1716660225966,999.9999999999868,6.854974751918605e-12
,,
1716660226968,999.9999999999867,6.91406427809178e-12
,,
1716660227970,999.9999999999866,6.9731538042649556e-12
,,
1716660228971,999.9999999999865,7.032184358855123e-12
,,
1716660229973,999.9999999999864,7.0912738850282985e-12
,,1716660230980,999.9999999999862,7.1506582691165094e-12
,,
1716660231982,999.9999999999861,7.209747795289685e-12
,,
1716660232983,999.999999999986,7.268778349879852e-12
,,
1716660233985,999.9999999999859,7.327867876053027e-12
,,
1716660234985,999.9999999999858,7.386839459060188e-12
,,
1716660235987,999.9999999999857,7.445928985233362e-12
,,
1716660236989,999.9999999999856,7.505018511406537e-12
,,
1716660237990,999.9999999999854,7.564049065996704e-12
,,
1716660238992,999.9999999999853,7.623138592169879e-12
,,
1716660239993,999.9999999999852,7.682169146760046e-12
,,1716660241013,999.9999999999851,7.74232016142735e-12
,,
1716660242014,999.999999999985,7.801350716017518e-12
,,
1716660243015,999.9999999999849,7.860381270607686e-12
,,
1716660244017,999.9999999999848,7.91947079678086e-12
,,
1716660245018,999.9999999999847,7.978501351371028e-12
,,
1716660246020,999.9999999999845,8.037590877544202e-12
,,
1716660247021,999.9999999999844,8.09662143213437e-12
,,
1716660248023,999.9999999999843,8.155710958307544e-12
,,
1716660249025,999.9999999999842,8.214800484480719e-12
,,
1716660250026,999.9999999999841,8.273831039070887e-12
,,1716660251032,999.999999999984,8.33315645157609e-12
,,
1716660252033,999.9999999999839,8.392187006166257e-12
,,
1716660253035,999.9999999999837,8.451276532339431e-12
,,
1716660254036,999.9999999999836,8.510307086929599e-12
,,
1716660255037,999.9999999999835,8.569337641519767e-12
,,
1716660256039,999.9999999999834,8.628427167692941e-12
,,
1716660257041,999.9999999999833,8.687516693866116e-12
,,
1716660258042,999.9999999999832,8.746547248456283e-12
,,
1716660259043,999.9999999999831,8.805577803046451e-12
,,
1716660260050,999.999999999983,8.86496218713466e-12
,,1716660261060,999.9999999999828,8.924523485971891e-12
,,
1716660262061,999.9999999999827,8.983554040562059e-12
,,
1716660263063,999.9999999999826,9.042643566735233e-12
,,
1716660264064,999.9999999999825,9.1016741213254e-12
,,
1716660265064,999.9999999999824,9.160645704332559e-12
,,
1716660266066,999.9999999999823,9.219735230505733e-12
,,
1716660267068,999.9999999999822,9.278824756678908e-12
,,
1716660268069,999.999999999982,9.337855311269074e-12
,,
1716660269071,999.9999999999819,9.396944837442248e-12
,,
1716660270072,999.9999999999818,9.455975392032414e-12
,,1716660271084,999.9999999999817,9.51565463403566e-12
,,
1716660272085,999.9999999999816,9.574685188625826e-12
,,
1716660273086,999.9999999999815,9.633715743215992e-12
,,
1716660274087,999.9999999999814,9.692746297806158e-12
,,
1716660275088,999.9999999999812,9.751776852396325e-12
,,
1716660276090,999.9999999999811,9.810866378569499e-12
,,
1716660277091,999.999999999981,9.869896933159665e-12
,,
1716660278093,999.9999999999809,9.92898645933284e-12
,,
1716660279094,999.9999999999808,9.988017013923005e-12
,,
1716660280095,999.9999999999807,1.0047047568513172e-11
,,1716660281097,999.9999999999806,1.0106137094686344e-11
,,
1716660282099,999.9999999999804,1.0165226620859517e-11
,,
